Samples,Genotypte,Stage,PeriodYear,GlassHouse,path,brep,condition2,condition
Bw_1_5,Bw,5mm,Summer,OP,1791_LIB21157_LDI18532_CGATGT_L001,brep1,Bw.5mm.Summer,Bw.5mm
Bw_2_5,Bw,5mm,Summer,OP,1791_LIB21158_LDI18533_TGACCA_L001,brep2,Bw.5mm.Summer,Bw.5mm
Bw_3_5,Bw,5mm,Summer,AP,1791_LIB21163_LDI18538_CGGAAT_L002,brep3,Bw.5mm.Summer,Bw.5mm
Bw_4_5,Bw,5mm,Summer,AP,1791_LIB21164_LDI18539_TCATTC_L002,brep4,Bw.5mm.Summer,Bw.5mm
Bw_7_5,Bw,5mm,Autumn,OP,1792_LIB21169_LDI18544_AGTCAA_L001,brep7,Bw.5mm.Autumn,Bw.5mm
Bw_8_5,Bw,5mm,Autumn,OP,1792_LIB21170_LDI18545_AGTTCC_L001,brep8,Bw.5mm.Autumn,Bw.5mm
Bw_9_5,Bw,5mm,Autumn,AP,1792_LIB21175_LDI18550_GTGAAA_L002,brep9,Bw.5mm.Autumn,Bw.5mm
Bw_10_5,Bw,5mm,Autumn,AP,1792_LIB21176_LDI18551_GTGGCC_L002,brep10,Bw.5mm.Autumn,Bw.5mm
Bw_1_10,Bw,10mm,Summer,OP,1946_LIB22850_LDI20191_CGATGT_L001,brep1,Bw.10mm.Summer,Bw.10mm
Bw_2_10,Bw,10mm,Summer,OP,1946_LIB22851_LDI20192_CAGATC_L001,brep2,Bw.10mm.Summer,Bw.10mm
Bw_3_10,Bw,10mm,Summer,AP,1946_LIB22856_LDI20197_TGACCA_L002,brep3,Bw.10mm.Summer,Bw.10mm
Bw_4_10,Bw,10mm,Summer,AP,1946_LIB22857_LDI20198_GTTTCG_L002,brep4,Bw.10mm.Summer,Bw.10mm
Bw_7_10,Bw,10mm,Autumn,OP,1947_LIB22862_LDI20203_CTTGTA_L001,brep7,Bw.10mm.Autumn,Bw.10mm
Bw_8_10,Bw,10mm,Autumn,OP,1947_LIB22863_LDI20204_TTAGGC_L001,brep8,Bw.10mm.Autumn,Bw.10mm
Bw_9_10,Bw,10mm,Autumn,AP,1947_LIB22868_LDI20209_CCGTCC_L002,brep9,Bw.10mm.Autumn,Bw.10mm
Bw_10_10,Bw,10mm,Autumn,AP,1947_LIB22869_LDI20210_GTCCGC_L002,brep10,Bw.10mm.Autumn,Bw.10mm
Bw421_1_5,Bw421,5mm,Summer,OP,1791_LIB21161_LDI18536_CAGATC_L001,brep1,Bw421.5mm.Summer,Bw421.5mm
Bw421_2_5,Bw421,5mm,Summer,OP,1791_LIB21162_LDI18537_TCCCGA_L001,brep2,Bw421.5mm.Summer,Bw421.5mm
Bw421_3_5,Bw421,5mm,Summer,AP,1791_LIB21167_LDI18542_TAGCTT_L002,brep3,Bw421.5mm.Summer,Bw421.5mm
Bw421_4_5,Bw421,5mm,Summer,AP,1791_LIB21168_LDI18543_GGCTAC_L002,brep4,Bw421.5mm.Summer,Bw421.5mm
Bw421_7_5,Bw421,5mm,Autumn,OP,1792_LIB21173_LDI18548_GTAGAG_L001,brep7,Bw421.5mm.Autumn,Bw421.5mm
Bw421_8_5,Bw421,5mm,Autumn,OP,1792_LIB21174_LDI18549_GTCCGC_L001,brep8,Bw421.5mm.Autumn,Bw421.5mm
Bw421_9_5,Bw421,5mm,Autumn,AP,1792_LIB21179_LDI18554_GAGTGG_L002,brep9,Bw421.5mm.Autumn,Bw421.5mm
Bw421_10_5,Bw421,5mm,Autumn,AP,1792_LIB21180_LDI18555_CAAAAG_L002,brep10,Bw421.5mm.Autumn,Bw421.5mm
Bw421_1_10,Bw421,10mm,Summer,OP,1946_LIB22854_LDI20195_AGTCAA_L001,brep1,Bw421.10mm.Summer,Bw421.10mm
Bw421_2_10,Bw421,10mm,Summer,OP,1946_LIB22855_LDI20196_GTGGCC_L001,brep2,Bw421.10mm.Summer,Bw421.10mm
Bw421_3_10,Bw421,10mm,Summer,AP,1946_LIB22860_LDI20201_GTAGAG_L002,brep3,Bw421.10mm.Summer,Bw421.10mm
Bw421_4_10,Bw421,10mm,Summer,AP,1946_LIB22861_LDI20202_GAGTGG_L002,brep4,Bw421.10mm.Summer,Bw421.10mm
Bw421_7_10,Bw421,10mm,Autumn,OP,1947_LIB22866_LDI20207_AGTTCC_L001,brep7,Bw421.10mm.Autumn,Bw421.10mm
Bw421_8_10,Bw421,10mm,Autumn,OP,1947_LIB22867_LDI20208_ATGTCA_L001,brep8,Bw421.10mm.Autumn,Bw421.10mm
Bw421_9_10,Bw421,10mm,Autumn,AP,1947_LIB22872_LDI20213_CGTACG_L002,brep9,Bw421.10mm.Autumn,Bw421.10mm
Bw421_10_10,Bw421,10mm,Autumn,AP,1947_LIB22873_LDI20214_GGTAGC_L002,brep10,Bw421.10mm.Autumn,Bw421.10mm
Bw902_1_5,Bw902,5mm,Summer,OP,1791_LIB21159_LDI18534_ACAGTG_L001,brep1,Bw902.5mm.Summer,Bw902.5mm
Bw902_2_5,Bw902,5mm,Summer,OP,1791_LIB21160_LDI18535_GCCAAT_L001,brep2,Bw902.5mm.Summer,Bw902.5mm
Bw902_3_5,Bw902,5mm,Summer,AP,1791_LIB21165_LDI18540_ACTTGA_L002,brep3,Bw902.5mm.Summer,Bw902.5mm
Bw902_4_5,Bw902,5mm,Summer,AP,1791_LIB21166_LDI18541_GATCAG_L002,brep4,Bw902.5mm.Summer,Bw902.5mm
Bw902_7_5,Bw902,5mm,Autumn,OP,1792_LIB21171_LDI18546_ATGTCA_L001,brep7,Bw902.5mm.Autumn,Bw902.5mm
Bw902_8_5,Bw902,5mm,Autumn,OP,1792_LIB21172_LDI18547_CCGTCC_L001,brep8,Bw902.5mm.Autumn,Bw902.5mm
Bw902_9_5,Bw902,5mm,Autumn,AP,1792_LIB21177_LDI18552_GTTTCG_L002,brep9,Bw902.5mm.Autumn,Bw902.5mm
Bw902_10_5,Bw902,5mm,Autumn,AP,1792_LIB21178_LDI18553_CGTACG_L002,brep10,Bw902.5mm.Autumn,Bw902.5mm
Bw902_1_10,Bw902,10mm,Summer,OP,1946_LIB22852_LDI20193_GGCTAC_L001,brep1,Bw902.10mm.Summer,Bw902.10mm
Bw902_2_10,Bw902,10mm,Summer,OP,1946_LIB22853_LDI20194_TAGCTT_L001,brep2,Bw902.10mm.Summer,Bw902.10mm
Bw902_3_10,Bw902,10mm,Summer,AP,1946_LIB22858_LDI20199_ATCACG_L002,brep3,Bw902.10mm.Summer,Bw902.10mm
Bw902_4_10,Bw902,10mm,Summer,AP,1946_LIB22859_LDI20200_ACTTGA_L002,brep4,Bw902.10mm.Summer,Bw902.10mm
Bw902_7_10,Bw902,10mm,Autumn,OP,1947_LIB22864_LDI20205_GATCAG_L001,brep7,Bw902.10mm.Autumn,Bw902.10mm
Bw902_8_10,Bw902,10mm,Autumn,OP,1947_LIB22865_LDI20206_GCCAAT_L001,brep8,Bw902.10mm.Autumn,Bw902.10mm
Bw902_9_10,Bw902,10mm,Autumn,AP,1947_LIB22870_LDI20211_GTGAAA_L002,brep9,Bw902.10mm.Autumn,Bw902.10mm
Bw902_10_10,Bw902,10mm,Autumn,AP,1947_LIB22871_LDI20212_ACAGTG_L002,brep10,Bw902.10mm.Autumn,Bw902.10mm
